legend,player,icon_minimap_player,MP_BR_INGAME/PLAYER,,
legend,playerPing,ui_mp_br_mapmenu_ping_navigation_squadleader,MP_BR_INGAME/MAP_KEY_PLAYER_PING,,
legend,dropbag,ui_mp_br_mapmenu_legend_poi_equipmentbag,MP_BR_INGAME/DROPBAG,,
top,contracts,,,1,
middle,armoryKiosk,ui_mp_br_mapmenu_legend_poi_shop,MP_BR_INGAME/ARMORY_KIOSK,,
middle,plunderExtraction,ui_mp_br_mapmenu_legend_poi_plunder,MP_BR_INGAME/PLUNDER_EXTRACTION_POINT,,
middle,juggDrop,ui_mp_br_mapmenu_legend_juggernaut_drop,MP_BR_INGAME/JUGG_DROP,,
middle,jugg,ui_mp_br_mapmenu_legend_juggernaut_player,MP_BR_INGAME/JUGG,,
bottom,atv,ui_mp_br_mapmenu_legend_vehicle_atv,VEHICLES/ATV,,
bottom,jeep,ui_mp_br_mapmenu_legend_vehicle_jeep,VEHICLES/JEEP,,
bottom,littleBird,ui_mp_br_mapmenu_legend_littlebird,VEHICLES/LITTLE_BIRD,,
bottom,cargoTruck,ui_mp_br_mapmenu_legend_vehicle_cargo_truck,VEHICLES/CARGO_TRUCK,,
bottom,tacRover,ui_mp_br_mapmenu_legend_vehicle_tac_rover,VEHICLES/TAC_ROVER,,
bottom,train,ui_mp_br_mapmenu_legend_vehicle_train,VEHICLES/TRAIN,,
