loadoutName,1911andSMG,X16andSMG,M19andSMG,RenettiandSMG,
loadoutPrimary,iw8_sm_uzulu,iw8_sm_victor,iw8_sm_augolf,iw8_sm_smgolf45,
loadoutPrimaryAttachment1,none,none,none,none,
loadoutPrimaryAttachment2,none,none,none,none,
loadoutPrimaryAttachment3,none,none,none,none,
loadoutPrimaryAttachment4,none,none,none,none,
loadoutPrimaryAttachment5,none,none,none,none,
loadoutPrimaryCamo,none,none,none,none,
loadoutPrimaryReticle,none,none,none,none,
loadoutSecondary,iw8_pi_mike1911,iw8_pi_golf21,iw8_pi_papa320,iw8_pi_mike9,
loadoutSecondaryAttachment1,barmid,barlong,barlong,barlong,
loadoutSecondaryAttachment2,minireddot03_mike1911,reflexmini2,reflexmini3,holo,
loadoutSecondaryAttachment3,xmagslrg,xmagslrg,xmagslrg,xmagslrg,
loadoutSecondaryAttachment4,comp,comp,comp,comp,
loadoutSecondaryAttachment5,none,none,none,none,
loadoutSecondaryCamo,none,none,none,none,
loadoutSecondaryReticle,none,none,none,none,
loadoutEquipmentPrimary,none,none,none,none,
loadoutExtraPowerPrimary,FALSE,FALSE,FALSE,FALSE,
loadoutEquipmentSecondary,none,none,none,none,
loadoutExtraPowerSecondary,FALSE,FALSE,FALSE,FALSE,
loadoutPerk1,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk2,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutPerk3,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk1,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk2,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutExtraPerk3,specialty_null,specialty_null,specialty_null,specialty_null,
loadoutOverkill,FALSE,FALSE,FALSE,FALSE,
