primary_attachment_4,LUA_MENU_MP/PICK10_SLOT_PRIMARY_ATTACHMENT_4,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_ATTACH_DESC,extra_primary_attachment_1,PRESTIGE/PICK_10_SLOT_EXTRA_PRIMARY_ATTACH_GENERIC,
primary_attachment_5,LUA_MENU_MP/PICK10_SLOT_PRIMARY_ATTACHMENT_5,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_ATTACH_DESC,extra_primary_attachment_2,PRESTIGE/PICK_10_SLOT_EXTRA_PRIMARY_ATTACH_GENERIC,
primary_attachment_6,LUA_MENU_MP/PICK10_SLOT_PRIMARY_ATTACHMENT_6,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_ATTACH_DESC,extra_primary_attachment_3,PRESTIGE/PICK_10_SLOT_EXTRA_PRIMARY_ATTACH_GENERIC,
secondary_attachment_4,LUA_MENU_MP/PICK10_SLOT_SECONDARY_ATTACHMENT_4,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_ATTACH_SECONDARY_DESC,extra_secondary_attachment_1,PRESTIGE/PICK_10_SLOT_EXTRA_SECONDARY_ATTACH_GENERIC,
secondary_attachment_5,LUA_MENU_MP/PICK10_SLOT_SECONDARY_ATTACHMENT_5,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_ATTACH_SECONDARY_DESC,extra_secondary_attachment_2,PRESTIGE/PICK_10_SLOT_EXTRA_SECONDARY_ATTACH_GENERIC,
extra_lethal,LUA_MENU_MP/PICK10_SLOT_EXTRA_LETHAL,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_LETHAL_DESC,extra_lethal,LUA_MENU_MP/PICK10_SLOT_EXTRA_LETHAL,
extra_tactical,LUA_MENU_MP/PICK10_SLOT_EXTRA_TACTICAL,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_TACTICAL_DESC,extra_tactical,LUA_MENU_MP/PICK10_SLOT_EXTRA_TACTICAL,
extra_perk_1,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_1,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_1_DESC,extra_perk_1,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_1,
extra_perk_2,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_2,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_2_DESC,extra_perk_2,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_2,
extra_perk_3,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_3,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_3_DESC,extra_perk_3,LUA_MENU_MP/PICK10_SLOT_EXTRA_PERK_3,
extra_primary_weapon,LUA_MENU_MP/PICK10_SLOT_EXTRA_PRIMARY_WEAPON,icon_slot_empty_big,LUA_MENU_MP/PICK10_SLOT_EXTRA_PRIMARY_WEAPON_DESC,extra_primary_weapon,LUA_MENU_MP/PICK10_SLOT_EXTRA_PRIMARY_WEAPON,
