none,1,,,,,,,,,,,,,
default,2,plunder_small,dmz,xp_small,default,weapon_xp_small,no_scale,,,,,,,
domination,3,plunder_dom,dmz,xp_medium,default,weapon_xp_medium,no_scale,blueprint_chance,no_scale,,,,,
assassin,4,plunder_asn,dmz,xp_large,default,weapon_xp_large,no_scale,,,,,,,
assassin_target_killed,5,plunder_asn,dmz,xp_large,default,weapon_xp_large,no_scale,blueprint_chance,no_scale,,,,,
assassin_target_vanished,6,plunder_asn_fail,dmz,xp_tiny,default,weapon_xp_tiny,no_scale,,,,,,,
assassin_averted,7,plunder_tiny,default,xp_tiny,default,weapon_xp_tiny,no_scale,reward_tier,no_scale,,,,,
scavenger_1,28,loot_cache_1,no_scale,,,,,,,,,,,
scavenger_2,29,loot_cache_2,no_scale,,,,,,,,,,,
scavenger_3,30,plunder_scav,dmz,xp_medium,default,weapon_xp_medium,no_scale,loot_cache_3,no_scale,blueprint_chance,no_scale,loot_platepouch_nosplash,no_scale,
vip,31,plunder_large,dmz,xp_large,default,weapon_xp_large,no_scale,blueprint_chance,no_scale,,,,,
vip_killer,32,plunder_small,dmz,xp_small,default,weapon_xp_small,no_scale,,,,,,,
timed_run,33,plunder_tiny,dmz,xp_medium,default,weapon_xp_medium,no_scale,fire_sale,no_scale,,,,,
blueprintextract,34,plunder_extract,dmz,xp_large,default,weapon_xp_large,no_scale,,,,,,,
geigerstash,36,plunder_medium,default,xp_medium,default,weapon_xp_medium,default,brloot_killstreak_rcxd_rad_nosplash,no_scale,,,,,
