0,Reflex_Scope,reflex_base_wm,icon_attachment_reflex_east01,ATTACHMENTS_REFLEX,brloot_attach_reflex,1,2,,,MP_BR_ATTACH_REFLEX_SCOPE,reflex,1,1,scope,1,icon_attachment_reflex_east01,12,,
1,Holo_Scope,attachment_wm_holo01,icon_attachment_holo_east01,WEAPON_HOLO_ATTACHMENT,brloot_attach_holo,1,2,,,MP_BR_ATTACH_HOLO_SCOPE,holo,1,1,scope,1,icon_attachment_holo_east01,12,,
2,Acog_Scope,weapon_acog_iw6,icon_attachment_hybrid_east01,WEAPON_ACOG_ATTACHMENT_BR,brloot_attach_acog,1,3,,,MP_BR_ATTACH_ACOG_SCOPE,acog,1,1,scope,1,icon_attachment_hybrid_east01,12,,
3,Big_Silencer,attachment_wm_ar_asierra12_longsuppressor_br,icon_attachment_silencer_east01,WEAPON_SUPPRESSOR_L_ATTACHMENT,brloot_attach_suppressor,1,4,,,MP_BR_ATTACH_LONG_SUPPRESSOR,silencer,1,1,barrel,1,icon_attachment_silencer_east01,12,,
4,Small_Silencer,attachment_wm_ar_asierra12_suppressor_br,icon_attachment_silencer_east01,WEAPON_SUPPRESSOR_S_ATTACHMENT,brloot_attach_suppressor,1,4,,,MP_BR_ATTACH_SHORT_SUPPRESSOR,silencer,1,1,barrel,1,icon_attachment_silencer_east01,12,,
5,Foregrip,weapon_ar57_foregrip_wm,icon_attachment_gripvert_akilo47,WEAPON_VGRIP_ATTACHMENT,,0,2,,,MP_BR_ATTACH_FOREGRIP,gripvert,1,1,underbarrel,1,icon_attachment_gripvert_akilo47,12,,
6,Bipod,attachment_wm_bipod_br,icon_attachment_barlmg_akilo47,ATTACHMENTS_BIPOD,brloot_attach_bipod,1,2,,,MP_BR_ATTACH_BIPOD,Bipod,1,1,underbarrel,1,icon_attachment_barlmg_akilo47,12,,
7,Laser,attachment_wm_laser_mic_br,icon_attachment_laser,ATTACHMENTS_LASER,brloot_attach_laser,1,2,,,MP_BR_ATTACH_LASER,Laser,1,1,extra,1,icon_attachment_laser,12,,
8,Stock,attachment_wm_lightstock_akilo47,icon_attachment_stockno_akilo47,ATTACHMENTS_STOCKPSTL,brloot_attach_stock,1,2,,,MP_BR_ATTACH_STOCK,stockl,1,1,Stock,1,icon_attachment_stockno_akilo47,12,,
9,Underbarrel_GL,attachment_wm_ub_mike203,icon_attachment_ub_golf25,LUA_MENU_WEAPTYPE_SINGLE_LAUNCHER,brloot_attach_underbarrel,1,5,,,MP_BR_ATTACH_UNDERBARREL,gl,1,1,underbarrel,1,icon_attachment_ub_golf25,12,,
