setchancecol,mp/loot/br/kingslayer/lootset_global.csv,3,# global,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_named_Location.csv,4,# named_Location,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_extra_plunder.csv,5,# extra_plunder,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_superstore.csv,6,# superstore,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_cache_base.csv,7,# cache_base,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_cache_lege.csv,8,# cache_lege,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_cache_pe_chop.csv,9,# cache_pe_chop,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_contract_asn.csv,10,# contract_asn,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_contract_dom.csv,11,# contract_dom,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_contract_scav1.csv,12,# contract_scav1,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_contract_scav2.csv,13,# contract_scav2,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_contract_scav3.csv,14,# contract_scav3,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_bunkers.csv,15,# bunkers,,,,,,,,,,,,,,
setchancecol,mp/loot/br/kingslayer/lootset_empty.csv,16,# N/A,,,,,,,,,,,,,,
Central Control,,,,,,,,,,,,,,,,,
chance,ammo,,20,20,20,20,20,20,20,20,20,20,20,20,20,0,
chance,killstreak,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
item,brloot_ammo_12g,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
item,brloot_ammo_50cal,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
item,brloot_ammo_762,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
item,brloot_ammo_919,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
item,brloot_ammo_rocket,,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
item,brloot_killstreak_clusterstrike,,0,15,15,15,15,15,15,15,15,15,15,15,15,0,
item,brloot_killstreak_precision_airstrike,,0,5,5,5,5,5,5,5,5,5,5,5,5,0,
item,brloot_killstreak_uav,,0,20,20,20,20,20,20,20,20,20,20,20,20,0,
item,brloot_killstreak_auav,,0,5,5,5,5,5,5,5,5,5,5,5,5,0,
