cp_detonation_code,1,,c,i,0,0,9999,,code displayed on device,
cp_detonation_color,1,,c,i,0,0,5,,color of  "wire" on bomb,
cp_detonation_fill,1,,c,f,0,0,1,1,depletion rate timer for detonation color change,
cp_detonation_timer,1,,g,t,0,,,1,main timer,
ui_raid_lua_render_stage,1,,g,i,0,0,10,,#stage for releasing and rendering in world lua rtt_textures,
ui_signal_strength1,1,,g,i,0,0,100,,,
ui_signal_strength2,1,,g,i,0,0,100,,,
ui_signal_strength3,1,,g,i,0,0,100,,,
ui_signal_strength_total,1,,g,i,-1,-1,100,,# -1 hides the widget,
ui_gasmask_damage,1,1,c,f,1,0,1,,,
ui_head_equip_class,1,1,c,i,0,0,3,,,
